student_id,college_id,job_id,rank_position,match_score,predicted_relevance_score,skill_overlap_count,skill_gap_count,skill_gap_list,years_exposure_avg,jd_seniority_level,ai_trust_score,verified_skill_count,feature_importances_json,task16_explanation
S0012,C002,J015,1,0.55,0.527,4,0,,4.3,3,0.93,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0066,C003,J002,3,0.66,0.642,5,1,Docker,3.0,1,0.88,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0041,C003,J006,1,0.8,0.682,2,0,,1.2,5,0.86,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0018,C004,J006,5,0.51,0.469,4,2,"React,Python",0.3,3,0.92,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0009,C003,J003,5,0.55,0.475,4,2,"React,SQL",4.1,4,0.79,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0063,C002,J005,4,0.68,0.627,4,2,"Git,K8s",0.1,2,0.74,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0087,C002,J007,5,0.6,0.491,3,0,,4.9,2,0.72,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0011,C004,J020,5,0.72,0.613,5,3,"React,K8s,Git",2.0,2,0.96,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0001,C001,J002,4,0.53,0.455,3,1,Python,1.9,1,0.88,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0032,C005,J012,1,0.7,0.585,5,0,,3.3,3,0.72,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0031,C002,J014,4,0.66,0.621,4,2,"React,Java",4.2,2,0.71,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0073,C001,J002,2,0.5,0.426,5,1,AWS,4.8,5,0.74,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0032,C005,J016,4,0.57,0.467,2,3,"Java,Git,Docker",2.2,1,0.75,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0046,C003,J017,5,0.63,0.599,4,2,"Docker,Java",2.3,4,0.72,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0029,C004,J013,2,0.55,0.514,5,2,"React,Java",3.8,1,0.85,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0025,C004,J005,2,0.75,0.706,5,0,,4.4,4,0.73,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0010,C001,J014,3,0.58,0.508,2,0,,2.8,2,0.92,7,,Good match overall for this role based on profile.
S0034,C001,J020,3,0.84,0.79,3,3,"K8s,React,Python",3.6,3,0.74,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0074,C005,J006,4,0.58,0.511,2,2,"React,SQL",1.1,4,0.86,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0031,C003,J019,1,0.79,0.676,5,0,,4.9,5,0.93,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0055,C001,J001,2,0.67,0.559,5,2,"Java,Git",2.1,4,0.84,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0075,C004,J007,1,0.93,0.807,5,0,,0.8,3,0.71,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0051,C003,J019,2,0.88,0.765,2,0,,2.3,4,0.93,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0004,C002,J007,2,0.91,0.847,5,1,SQL,4.6,1,0.98,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 2.
S0007,C004,J003,4,0.85,0.812,5,1,AWS,4.3,3,0.72,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0033,C002,J007,2,0.83,0.752,5,2,"Docker,Python",2.5,5,0.77,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0019,C001,J019,1,0.93,0.884,2,0,,3.6,2,0.73,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0061,C005,J002,4,0.83,0.704,3,0,,2.7,2,0.84,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0066,C001,J010,2,0.89,0.797,4,1,Java,0.3,1,0.76,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0086,C004,J015,5,0.8,0.686,3,2,"Git,Docker",2.8,3,0.96,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0023,C004,J018,3,0.85,0.811,5,3,"Git,Docker,Java",1.6,1,0.81,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0084,C004,J006,4,0.57,0.524,2,2,"K8s,React",0.9,5,0.91,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0032,C003,J009,4,0.83,0.729,2,2,"Docker,AWS",0.8,2,0.82,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0097,C003,J004,1,0.87,0.754,3,0,,1.7,1,0.94,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0011,C001,J002,4,0.71,0.625,3,1,Git,4.1,1,0.77,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0058,C002,J011,1,0.7,0.638,2,0,,4.2,3,0.88,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0040,C003,J015,1,0.79,0.76,4,2,"K8s,Java",1.1,3,0.92,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0017,C004,J007,1,0.85,0.781,3,0,,3.4,3,0.73,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0072,C005,J003,3,0.94,0.807,5,0,,0.2,2,0.98,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0003,C003,J010,3,0.86,0.726,4,1,Java,3.2,4,0.73,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0030,C001,J009,1,0.71,0.619,4,0,,1.5,1,0.71,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0086,C005,J009,5,0.88,0.771,5,2,"K8s,AWS",1.3,5,0.87,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0068,C001,J003,1,0.53,0.523,5,0,,0.4,4,0.83,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0022,C005,J008,5,0.78,0.711,2,2,"Python,Docker",2.4,4,0.98,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0082,C001,J017,5,0.71,0.594,5,2,"K8s,Docker",3.1,3,0.83,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0046,C001,J017,3,0.88,0.77,4,0,,2.2,2,0.79,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0041,C001,J017,5,0.66,0.595,2,2,"SQL,AWS",1.4,1,0.81,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0012,C005,J016,1,0.87,0.829,3,0,,3.2,5,0.94,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0068,C002,J001,4,0.67,0.565,5,3,"Java,React,Docker",3.7,2,0.89,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0010,C005,J014,2,0.56,0.466,4,3,"Java,K8s,SQL",0.3,2,0.7,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0079,C005,J005,5,0.86,0.746,2,2,"Docker,Java",2.1,3,0.72,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0098,C004,J003,3,0.89,0.843,4,2,"AWS,Java",2.0,2,0.75,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0065,C001,J015,4,0.65,0.587,3,3,"Java,SQL,AWS",4.2,2,0.94,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0050,C004,J005,3,0.74,0.63,3,2,"Python,AWS",1.6,5,0.83,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0042,C005,J005,3,0.9,0.82,5,0,,4.9,5,0.88,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0069,C004,J005,1,0.75,0.679,3,0,,2.2,2,0.94,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0021,C004,J012,3,0.75,0.66,5,2,"AWS,Python",1.0,5,0.99,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0019,C002,J005,5,0.57,0.548,2,3,"Python,AWS,Git",2.7,4,0.71,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0056,C001,J020,1,0.89,0.845,2,0,,4.9,4,0.92,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0033,C003,J015,3,0.73,0.656,3,0,,4.3,3,0.82,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0035,C005,J016,1,0.53,0.427,2,0,,1.2,3,0.83,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0096,C002,J011,3,0.81,0.692,3,0,,1.8,2,0.8,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0019,C003,J018,2,0.87,0.762,4,2,"SQL,K8s",0.0,5,0.94,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0063,C002,J008,1,0.83,0.725,5,1,React,0.4,5,0.73,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0016,C002,J006,4,0.57,0.534,5,2,"Python,React",0.8,3,0.71,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0030,C001,J013,5,0.6,0.532,2,1,Git,3.2,2,0.77,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0077,C004,J008,2,0.68,0.578,3,1,K8s,0.5,1,0.85,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0087,C001,J018,1,0.65,0.629,5,0,,4.1,3,0.78,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0015,C002,J019,5,0.69,0.609,5,3,"AWS,React,K8s",1.9,3,0.94,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0013,C005,J005,1,0.63,0.53,5,0,,1.3,4,0.93,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0041,C004,J003,2,0.79,0.738,2,3,"Docker,React,AWS",4.3,1,0.89,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0087,C004,J013,5,0.63,0.531,4,3,"K8s,Git,Python",3.6,1,0.96,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0054,C001,J010,5,0.62,0.592,3,0,,1.9,2,0.71,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0017,C003,J012,4,0.5,0.446,5,1,Java,1.3,1,0.85,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0059,C002,J015,1,0.55,0.472,5,3,"Java,Docker,React",0.0,3,0.89,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0032,C001,J011,1,0.77,0.672,2,1,AWS,2.4,4,0.84,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0056,C005,J020,2,0.79,0.717,3,0,,1.0,2,0.76,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0045,C003,J019,3,0.94,0.849,5,2,"SQL,Java",4.6,4,0.86,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0005,C001,J020,4,0.6,0.494,2,1,K8s,0.4,2,0.86,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0008,C005,J012,5,0.52,0.502,5,2,"React,Python",1.0,3,0.84,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0076,C001,J011,5,0.7,0.639,4,1,Git,4.5,2,0.9,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0008,C005,J004,1,0.71,0.667,5,0,,4.3,4,0.7,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0042,C004,J011,5,0.6,0.522,3,2,"SQL,AWS",2.4,5,0.7,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0034,C003,J019,1,0.52,0.494,2,0,,3.8,3,0.72,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0045,C002,J020,5,0.75,0.661,5,0,,1.2,2,0.95,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0041,C003,J009,5,0.52,0.436,3,3,"React,SQL,Docker",2.9,3,0.79,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0040,C002,J005,5,0.84,0.788,5,2,"Docker,Git",1.7,4,0.88,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0001,C005,J003,3,0.88,0.775,3,0,,3.9,2,0.94,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0023,C004,J013,5,0.68,0.617,2,0,,3.0,4,0.85,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0061,C005,J020,3,0.9,0.765,5,3,"SQL,Java,Python",3.8,2,0.79,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0078,C003,J016,3,0.95,0.846,5,3,"Docker,SQL,Python",0.4,2,0.91,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0011,C001,J010,1,0.66,0.639,4,0,,2.8,1,0.85,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0015,C002,J007,3,0.86,0.736,3,2,"AWS,Git",1.0,5,0.76,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0076,C001,J016,5,0.93,0.837,4,1,Java,4.2,2,0.88,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0029,C003,J019,1,0.74,0.67,2,0,,2.4,5,0.98,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0043,C003,J010,1,0.57,0.494,4,0,,3.4,5,0.72,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0051,C003,J018,4,0.8,0.675,2,3,"AWS,SQL,Python",1.7,1,0.95,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0019,C002,J005,3,0.53,0.464,5,0,,3.2,3,0.93,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0063,C002,J010,1,0.94,0.803,2,1,Git,0.9,4,0.82,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0010,C003,J002,1,0.83,0.76,5,0,,0.7,3,0.72,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0019,C004,J020,3,0.79,0.688,3,1,K8s,3.1,1,0.85,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0083,C001,J010,5,0.93,0.861,5,0,,1.0,4,0.9,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0068,C005,J007,1,0.74,0.71,3,0,,3.1,1,0.84,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0085,C003,J015,4,0.7,0.652,3,2,"Java,SQL",3.5,5,0.73,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0047,C004,J001,1,0.51,0.417,3,0,,2.1,2,0.87,9,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
S0082,C002,J006,3,0.72,0.626,5,1,Java,1.5,2,0.82,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0060,C001,J001,5,0.8,0.749,2,1,Python,2.5,2,0.89,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0058,C003,J013,4,0.77,0.684,4,1,Java,0.1,1,0.78,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 4.
S0074,C001,J018,3,0.87,0.802,4,3,"K8s,SQL,Docker",2.8,1,0.8,8,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0055,C005,J014,5,0.65,0.57,3,1,Docker,2.8,3,0.8,2,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Good match overall for this role based on profile.
S0076,C001,J016,3,0.69,0.572,2,0,,2.3,5,0.91,5,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0085,C001,J002,5,0.83,0.748,3,1,Java,1.2,2,0.88,4,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0011,C004,J014,3,0.65,0.61,5,3,"AWS,Git,K8s",3.4,2,0.75,3,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 3.
S0034,C001,J016,5,0.81,0.729,2,0,,2.2,2,0.85,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0049,C002,J007,5,0.85,0.776,4,0,,3.4,3,0.86,6,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 5.
S0054,C001,J009,1,0.71,0.676,2,2,"K8s,SQL",2.0,3,0.7,7,"{""match_score"": 0.41, ""skill_overlap_count"": 0.28, ""ai_trust_score"": 0.19, ""skill_gap_ratio"": 0.12}",Student matches well. Rank 1.
