student_id,job_id,explanation_text,quality_label,quality_reason,skill_gap_list,rank_position,audience
S0079,J017,You're ranked #3 for this role. Missing: Docker. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank",Docker,3,admin
S0121,J001,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #4.,0,"correct but not actionable for student, no counterfactual",Git,4,admin
S0165,J017,Rank: 3. Azure is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank",Azure,3,admin
S0017,J004,Rank: 4. Git is required. Adding it could shift you up to 3.,1,"actionable, specific, mentions correct skills and rank",Git,4,student
S0099,J015,Good match overall. Student is recommended.,0,too generic,"Python,Ruby",5,officer
S0054,J001,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #5.,0,"correct but not actionable for student, no counterfactual",Python,5,officer
S0182,J001,You're ranked #5 for this role. Missing: Java. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",Java,5,student
S0102,J002,You're ranked #5 for this role. Missing: Java.,0,states incorrect rank,Java,3,student
S0122,J006,Rank: 2. C++ is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank","C++,AWS",2,student
S0153,J001,You're ranked #4 for this role. Missing: React. Acquiring this skill could move you to #3.,1,"actionable, specific, mentions correct skills and rank","React,SQL",4,student
S0059,J004,Rank: 5. Java is required. Adding it could shift you up to 4.,1,"actionable, specific, mentions correct skills and rank",Java,5,officer
S0075,J015,You are rank #5. You are missing AWS. There is no way to improve.,0,correct features but unhelpful and negative tone,"AWS,Java",5,student
S0200,J008,Top features: match_score (0.41). Missing SQL. Rank change if SQL added: #5 -> #4.,1,"actionable, specific, mentions correct skills and rank",SQL,5,officer
S0114,J005,You're ranked #5 for this role. Missing: Ruby. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank","Ruby,AWS",5,officer
S0197,J006,Rank: 3. K8s is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank","K8s,Go",3,admin
S0077,J018,Good match overall. Student is recommended.,0,too generic,Go,4,officer
S0019,J006,Top features: match_score (0.41). Missing Go. Rank change if Go added: #3 -> #2.,1,"actionable, specific, mentions correct skills and rank","Go,Azure",3,officer
S0008,J013,You are rank #3. You are missing Ruby. There is no way to improve.,0,correct features but unhelpful and negative tone,"Ruby,Git",3,officer
S0171,J010,Good match overall. Student is recommended.,0,too generic,"Azure,AWS",5,officer
S0155,J002,Top features: match_score (0.41). Missing SQL. Rank change if SQL added: #4 -> #3.,1,"actionable, specific, mentions correct skills and rank",SQL,4,student
S0018,J013,You are rank #5. Missing: Azure. Add it to improve.,0,hallucinated skill not in gap list,Docker,5,admin
S0041,J009,"Your current position is #2. Gaps identified: Docker. If you learn Docker, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank","Docker,C++",2,student
S0099,J012,Rank: 3. Python is required. Adding it could shift you up to 2.,1,"actionable, specific, mentions correct skills and rank",Python,3,student
S0136,J009,You're ranked #5 for this role. Missing: SQL. Acquiring this skill could move you to #4.,1,"actionable, specific, mentions correct skills and rank",SQL,5,officer
S0004,J003,You're ranked #3 for this role. Missing: C++. Acquiring this skill could move you to #2.,1,"actionable, specific, mentions correct skills and rank",C++,3,student
S0188,J006,Rank: 2. Python is required. Adding it could shift you up to 1.,1,"actionable, specific, mentions correct skills and rank",Python,2,officer
S0164,J015,"Your current position is #2. Gaps identified: AWS. If you learn AWS, you might jump to #1.",1,"actionable, specific, mentions correct skills and rank",AWS,2,officer
S0054,J008,Student has match_score weight 0.41 and ai_trust_score 0.99. Rank #2.,0,"correct but not actionable for student, no counterfactual","Java,AWS",2,admin
S0153,J005,"Your current position is #3. Gaps identified: Go. If you learn Go, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",Go,3,student
S0126,J017,"Your current position is #3. Gaps identified: SQL. If you learn SQL, you might jump to #2.",1,"actionable, specific, mentions correct skills and rank",SQL,3,student
S0183,J001,Top features: match_score (0.41). Missing Git. Rank change if Git added: #2 -> #1.,1,"actionable, specific, mentions correct skills and rank",Git,2,student
S0132,J019,You're ranked #5 for this role. Missing: K8s.,0,states incorrect rank,K8s,3,admin
